workerid,OS,screenH,screenW,Browser
0,Windows,540,960,Firefox
1,Linux,768,1366,Chrome
2,Mac,800,1280,Chrome
3,Windows,768,1366,Chrome
4,Windows,1024,1280,Chrome
5,Windows,768,1024,Firefox
6,Windows,768,1366,Firefox
7,Linux,864,1536,Chrome
8,Mac,800,1280,Chrome
9,Windows,768,1366,Chrome
10,Linux,768,1366,Chrome
11,Windows,1024,1280,Firefox
12,Windows,768,1366,Chrome
13,Windows,1080,1920,Chrome
14,Windows,900,1600,Chrome
15,Windows,768,1366,Chrome
16,Windows,768,1366,Chrome
17,Windows,800,1280,Chrome
18,Mac,1200,1920,Chrome
19,Windows,1050,1680,Chrome
20,Mac,900,1440,Chrome
21,Windows,1080,1920,Chrome
22,iPhone/iPod,667,375,Safari
23,Windows,768,1366,Opera
24,Windows,900,1600,Chrome
25,Windows,768,1366,Chrome
26,Windows,800,1280,Chrome
27,Windows,960,1708,Firefox
28,Windows,768,1366,Chrome
29,Windows,768,1366,Chrome
30,Windows,1080,1920,Firefox
31,Mac,1080,1920,Chrome
32,Windows,640,1138,Firefox
33,Windows,1080,1920,Firefox
34,Windows,768,1360,Firefox
35,Windows,900,1600,Chrome
36,Windows,900,1600,Firefox
37,Windows,1440,2560,Firefox
38,Linux,768,1366,Chrome
39,Windows,1024,1280,Chrome
40,Windows,1024,1280,Chrome
41,an unknown OS,1024,768,Safari
42,Windows,1080,1920,Chrome
43,Windows,1080,1920,Chrome
44,Windows,1080,1920,Chrome
45,Windows,1080,1920,Chrome
46,Windows,900,1440,Chrome
47,Windows,768,1366,Firefox
48,Linux,800,1280,Chrome
49,Windows,900,1600,Firefox
50,Mac,800,1280,Firefox
51,Windows,1080,1920,Chrome
52,Windows,900,1600,Chrome
53,Windows,1080,1920,Chrome
54,Windows,900,1600,Firefox
55,Mac,800,1280,Chrome
56,Windows,1024,1280,Firefox
57,Linux,768,1366,Chrome
58,Windows,768,1366,Firefox
59,Windows,768,1366,Firefox
60,Windows,1080,1920,Firefox
61,Windows,800,1280,Chrome
62,Windows,768,1366,Chrome
63,Mac,768,1366,Safari
64,Mac,800,1280,Chrome
65,Windows,1080,1920,Chrome
66,Windows,1080,1920,Firefox
67,Windows,1080,1920,Chrome
68,Windows,864,1152,Chrome
69,Windows,900,1600,Firefox
70,Windows,1080,1920,Chrome
71,Windows,1024,1280,Chrome
72,Windows,1024,1280,Chrome
73,Windows,864,1152,Firefox
74,Windows,768,1366,Firefox
75,iPhone/iPod,736,414,Safari
76,Windows,1200,1920,Chrome
77,Windows,1200,1920,Chrome
78,Windows,900,1440,Chrome
79,Mac,800,1280,Chrome
80,Windows,900,1600,Chrome
81,Mac,800,1280,Firefox
82,Windows,1080,1920,Chrome
83,Mac,1050,1680,Chrome
84,Windows,1080,1920,Chrome
85,Windows,768,1366,Chrome
86,Windows,768,1366,Chrome
87,Mac,1200,1920,Chrome
88,Windows,900,1600,Chrome
89,Windows,1050,1680,Chrome
90,Windows,1024,1280,Chrome
91,Mac,800,1280,Chrome
92,iPhone/iPod,667,375,Safari
93,Mac,800,1280,Firefox
94,Windows,864,1536,Firefox
95,Windows,768,1366,Firefox
96,Mac,800,1280,Chrome
97,Mac,800,1280,Chrome
98,Windows,768,1366,Firefox
99,Mac,1080,1920,Chrome
100,Windows,900,1600,Chrome
101,Windows,1080,1920,Chrome
102,Windows,1080,1920,Chrome
103,Windows,1080,1920,Chrome
104,Mac,800,1280,Chrome
105,Linux,1024,600,Chrome
106,Windows,550,979,Firefox
107,Windows,768,1366,Chrome
108,Windows,900,1600,Chrome
109,Windows,1080,1920,Chrome
110,Windows,1080,1920,Chrome
111,Windows,1340,2144,Firefox
112,Windows,768,1366,Chrome
113,Windows,768,1366,Chrome
114,Windows,900,1600,Chrome
115,Windows,900,1440,Chrome
116,Mac,900,1440,Safari
117,Windows,1080,1920,Chrome
118,Mac,800,1280,Chrome
119,Mac,1440,2560,Chrome
120,Windows,1024,1280,Chrome
121,Windows,768,1366,Chrome
122,Windows,1080,1920,Chrome
123,Windows,768,1366,Chrome
124,Windows,1050,1680,Chrome
125,Windows,1050,1680,Chrome
126,Windows,1125,2000,Firefox
127,Windows,1050,1680,Chrome
128,Windows,1080,1920,Chrome
129,Windows,1080,1920,Chrome
130,Windows,1024,1280,Chrome
131,Windows,600,1067,Firefox
132,Windows,720,1280,Chrome
133,Windows,768,1366,Chrome
134,Windows,990,1760,Firefox
135,Windows,768,1366,Chrome
136,Windows,768,1366,Chrome
137,Windows,1080,1920,Firefox
138,iPhone/iPod,568,320,Safari
139,Windows,768,1366,Firefox
140,Windows,1050,1680,Chrome
141,Windows,963,1540,Firefox
142,Windows,1080,1920,Chrome
143,Mac,900,1440,Chrome
144,Windows,900,1440,Chrome
145,Windows,768,1366,Chrome
146,Windows,1080,1920,Chrome
147,Windows,1080,1920,Firefox
148,Windows,768,1366,Chrome
149,Linux,768,1366,Chrome
150,Windows,1440,2560,Chrome
151,Windows,900,1600,Firefox
152,Windows,1080,1920,Chrome
153,Windows,900,1600,Chrome
154,Mac,768,1366,Chrome
155,Windows,900,1600,Firefox
156,Windows,768,1366,Firefox
157,Mac,800,1280,Safari
158,Windows,1024,1280,Chrome
159,Windows,1080,1920,Chrome
160,Windows,768,1366,Chrome
161,Windows,1080,1920,Chrome
162,Windows,768,1366,Chrome
163,Windows,1200,1920,Chrome
164,Windows,768,1366,Chrome
165,Windows,900,1600,Chrome
166,Windows,900,1600,Chrome
167,Windows,900,1600,Chrome
168,Windows,1024,1280,Chrome
169,Windows,768,1366,Firefox
170,Windows,768,1280,Firefox
171,Windows,486,865,Firefox
172,Mac,800,1280,Chrome
173,Windows,768,1366,Firefox
174,Windows,768,1366,Chrome
175,Mac,900,1440,Chrome
176,Windows,1080,1920,Chrome
177,Windows,1005,1787,Firefox
178,Windows,900,1600,Chrome
179,Windows,858,1143,Firefox
180,Linux,853,1067,Firefox
181,Windows,1080,1920,Chrome
182,Windows,1050,1680,Chrome
183,Windows,640,1138,Firefox
184,Windows,682,853,Chrome
185,Windows,768,1366,Firefox
186,Mac,1050,1680,Chrome
187,iPhone/iPod,568,320,Safari
188,Windows,1080,1920,Chrome
189,Windows,1050,1680,Chrome
190,Windows,768,1366,Chrome
191,Linux,768,1366,Firefox
192,Windows,900,1600,Chrome
193,an unknown OS,1024,768,Safari
194,Windows,768,1360,Chrome
195,Windows,1080,1920,Chrome
196,Windows,1080,1920,Firefox
197,Windows,900,1600,Chrome
198,Windows,768,1366,Chrome
199,Windows,900,1600,Chrome
200,Windows,640,1138,Firefox
201,Windows,1024,1280,Chrome
202,Windows,1440,2560,Chrome
203,Mac,900,1440,Safari
204,Mac,800,1280,Chrome
205,Mac,800,1280,Chrome
206,Linux,768,1366,Chrome
207,Windows,1080,1920,Chrome
208,Windows,768,1366,Firefox
209,Windows,900,1600,Chrome
210,Windows,1024,1280,Firefox
211,Windows,1024,1280,Chrome
212,Windows,640,1138,Firefox
213,Windows,768,1366,Firefox
214,Windows,1206,2144,Firefox
215,Windows,900,1440,Chrome
216,Linux,768,1366,Chrome
217,Windows,1080,1920,Chrome
218,Windows,1080,1920,Chrome
219,Mac,800,1280,Chrome
220,Windows,768,1366,Chrome
221,Mac,800,1280,Chrome
222,Windows,768,1366,Chrome
223,Windows,1024,1280,Firefox
224,Windows,800,1280,Chrome
225,Mac,800,1280,Safari
226,Windows,1200,1920,Chrome
227,Windows,1080,1920,Chrome
228,Mac,1440,2560,Chrome
229,Windows,900,1600,Chrome
230,Windows,720,1280,Chrome
231,Windows,768,1366,Chrome
232,Mac,1080,1920,Chrome
233,Windows,768,1366,Chrome
234,Windows,900,1600,Firefox
235,Windows,900,1600,Chrome
236,Windows,768,1366,Chrome
237,Linux,360,640,Firefox
238,Windows,768,1366,Firefox
239,Windows,768,1366,Chrome
240,Mac,1080,1920,Firefox
241,Windows,720,1280,Firefox
242,Mac,800,1280,Chrome
243,Windows,1024,1280,Firefox
244,Windows,768,1366,Chrome
245,Windows,768,1366,Chrome
246,Windows,768,1024,Chrome
247,Windows,1050,1680,Chrome
248,Windows,1080,1920,Firefox
249,Windows,1024,1280,Chrome
